CICLO,ID_RAMO,DESC_RAMO,EJERCIDO_MDP
2000,50,Instituto Mexicano del Seguro Social,0
2000,54,Luz y Fuerza del Centro,0
2000,13,Marina,8396.7794
2000,16,Medio Ambiente y Recursos Naturales,14844.8959
2000,28,Participaciones a Entidades Federativas y Municipios,178136.1747
2000,52,Petróleos Mexicanos,0
2000,3,Poder Judicial,9495.1809
2000,1,Poder Legislativo,3819.8969
2000,2,Presidencia de la República,1454.8289
2000,25,Previsiones y Aportaciones para los Sistemas de Educación Básica y Normal,13682.2145
2000,17,Procuraduría General de la República,4409.8411
2000,23,Provisiones Salariales y Económicas,21715.2575
2000,15,Reforma Agraria,1722.25
2000,5,Relaciones Exteriores,3415.8219
2000,12,Salud,16261.354
2000,14,Trabajo y Previsión Social,3207.5713
2000,32,Tribunal Fiscal de la Federación,621.0041
2000,31,Tribunales Agrarios,441.2595
2000,21,Turismo,1032.1866
2001,30,Adeudos de Ejercicios Fiscales Anteriores,4982.3747
2001,8,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",32405.4301
2001,19,Aportaciones a Seguridad Social,88947.859
2001,33,Aportaciones Federales para Entidades Federativas y Municipios,209417.3156
2001,53,Comisión Federal de Electricidad,0
2001,35,Comisión Nacional de los Derechos Humanos,393.9603
2001,9,Comunicaciones y Transportes,17390.0821
2001,27,Contraloría y Desarrollo Administrativo,1161.4796
2001,7,Defensa Nacional,22031.0579
2001,20,Desarrollo Social,13282.3
2001,24,Deuda Pública,140203.5584
2001,10,Economía,4956.9267
2001,11,Educación Pública,94380.922
2001,18,Energía,14079.4689
2001,34,Erogaciones para los Programas de Apoyo a Ahorradores y Deudores de la Banca,39850.1801
2001,4,Gobernación,4355.8589
2001,6,Hacienda y Crédito Público,23491.8305
2001,51,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,0
2001,22,Instituto Federal Electoral,5294.1583
2001,50,Instituto Mexicano del Seguro Social,0
2001,54,Luz y Fuerza del Centro,0
2001,13,Marina,8852.4703
2001,16,Medio Ambiente y Recursos Naturales,13243.9467
2001,28,Participaciones a Entidades Federativas y Municipios,196931.1803
2001,52,Petróleos Mexicanos,0
2001,3,Poder Judicial,13920.6781
2001,1,Poder Legislativo,4449.3071
2001,2,Presidencia de la República,1651.328
2001,25,"Previsiones y Aportaciones para los Sistemas de Educación Básica, Normal, Tecnológica y de Adultos",14799.3401
2001,17,Procuraduría General de la República,5451.1768
2001,23,Provisiones Salariales y Económicas,15098.446
2001,15,Reforma Agraria,1890.6588
2001,5,Relaciones Exteriores,3707.3896
2001,12,Salud,18113.5176
2001,36,Seguridad Pública,5156.8159
2001,14,Trabajo y Previsión Social,3181.2749
2001,32,Tribunal Federal de Justicia Fiscal y Administrativa,670.1174
2001,31,Tribunales Agrarios,472.5513
2001,21,Turismo,1516.5057
2002,30,Adeudos de Ejercicios Fiscales Anteriores,12111.7474
2002,8,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",34298.9527
2002,19,Aportaciones a Seguridad Social,102331.1197
2002,33,Aportaciones Federales para Entidades Federativas y Municipios,226146.508
2002,53,Comisión Federal de Electricidad,NA
2002,35,Comisión Nacional de los Derechos Humanos,457.5625
2002,9,Comunicaciones y Transportes,24242.9236
2002,37,Consejería Jurídica del Ejecutivo Federal,56.1992
2002,27,Contraloría y Desarrollo Administrativo,1242.7429
2002,7,Defensa Nacional,22596.5906
2002,20,Desarrollo Social,17887.4058
2002,24,Deuda Pública,121578.1638
2002,10,Economía,6173.0926
2002,11,Educación Pública,107991.5437
2002,18,Energía,14181.2787
2002,34,Erogaciones para los Programas de Apoyo a Ahorradores y Deudores de la Banca,43982.4726
2002,4,Gobernación,5190.425
2002,6,Hacienda y Crédito Público,69616.8002
2002,51,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,NA
2002,22,Instituto Federal Electoral,5850.7198
2002,50,Instituto Mexicano del Seguro Social,NA
2002,54,Luz y Fuerza del Centro,NA
2002,13,Marina,8486.4113
2002,16,Medio Ambiente y Recursos Naturales,14932.4174
2002,28,Participaciones a Entidades Federativas y Municipios,214909.7743
2002,52,Petróleos Mexicanos,NA
2002,3,Poder Judicial,15414.3785
2002,1,Poder Legislativo,4967.126
2002,2,Presidencia de la República,1577.7729
2002,25,"Previsiones y Aportaciones para los Sistemas de Educación Básica, Normal, Tecnológica y de Adultos",15677.5724
2002,17,Procuraduría General de la República,6991.8657
2002,23,Provisiones Salariales y Económicas,17928.6373
2002,15,Reforma Agraria,2156.4022
2002,5,Relaciones Exteriores,3845.1198
2002,12,Salud,20127.3469
2002,36,Seguridad Pública,6388.9883
2002,14,Trabajo y Previsión Social,3162.4897
2002,32,Tribunal Federal de Justicia Fiscal y Administrativa,782.6305
