CICLO,ID_RAMO,DESC_RAMO,ID_MODALIDAD,DESC_MODALIDAD,EJERCIDO_MPD
2017,50,Instituto Mexicano del Seguro Social,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,47776.90309
2017,50,Instituto Mexicano del Seguro Social,O,Apoyo a la función pública y al mejoramiento de la gestión,309.316309
2017,50,Instituto Mexicano del Seguro Social,W,Operaciones ajenas,-8142.372202
2017,51,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,E,Prestación de Servicios Públicos,47617.974932
2017,51,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,J,Pensiones y jubilaciones,188286.445614
2017,51,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,K,Proyectos de Inversión,716.831957
2017,51,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,26600.088705
2017,51,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,O,Apoyo a la función pública y al mejoramiento de la gestión,185.702818
2017,51,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,W,Operaciones ajenas,-911.162164
2017,52,Petróleos Mexicanos,B,Provisión de Bienes Públicos,70451.606662
2017,52,Petróleos Mexicanos,E,Prestación de Servicios Públicos,158543.856072
2017,52,Petróleos Mexicanos,J,Pensiones y jubilaciones,52490.503319
2017,52,Petróleos Mexicanos,K,Proyectos de Inversión,191081.508071
2017,52,Petróleos Mexicanos,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,10238.380641
2017,52,Petróleos Mexicanos,O,Apoyo a la función pública y al mejoramiento de la gestión,784.271876
2017,52,Petróleos Mexicanos,R,Específicos,2667.36492
2017,52,Petróleos Mexicanos,W,Operaciones ajenas,-2712.649086
2017,53,Comisión Federal de Electricidad,E,Prestación de Servicios Públicos,213619.250445
2017,53,Comisión Federal de Electricidad,F,Promoción y fomento,35.879752
2017,53,Comisión Federal de Electricidad,J,Pensiones y jubilaciones,36113.6408
2017,53,Comisión Federal de Electricidad,K,Proyectos de Inversión,27230.793628
2017,53,Comisión Federal de Electricidad,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,30590.016881
2017,53,Comisión Federal de Electricidad,O,Apoyo a la función pública y al mejoramiento de la gestión,319.759859
