CICLO,ID_RAMO,DESC_RAMO,MONTO_ORIGINAL,MONTO_EJERCIDO
2001,23,Provisiones Salariales y Económicas,20293.6316,15098.446
2001,15,Reforma Agraria,1855.01,1890.6588
2001,5,Relaciones Exteriores,3665.7363,3707.3896
2001,12,Salud,19278.0729,18113.5176
2001,36,Seguridad Pública,6350.1051,5156.8159
2001,14,Trabajo y Previsión Social,3803.44,3181.2749
2001,32,Tribunal Federal de Justicia Fiscal y Administrativa,732.2,670.1174
2001,31,Tribunales Agrarios,498.7823,472.5513
2001,21,Turismo,1338.0283,1516.5057
2002,30,Adeudos de Ejercicios Fiscales Anteriores,11179.3287,12111.7474
2002,8,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",35580.23,34298.9527
2002,19,Aportaciones a Seguridad Social,100670.3856,102331.1197
2002,33,Aportaciones Federales para Entidades Federativas y Municipios,218673.0079,226146.508
2002,53,Comisión Federal de Electricidad,,
2002,35,Comisión Nacional de los Derechos Humanos,456.3,457.5625
2002,9,Comunicaciones y Transportes,23107.0045,24242.9236
2002,37,Consejería Jurídica del Ejecutivo Federal,57.609,56.1992
2002,27,Contraloría y Desarrollo Administrativo,1240.32,1242.7429
2002,7,Defensa Nacional,22705.42,22596.5906
2002,20,Desarrollo Social,19054.642,17887.4058
2002,24,Deuda Pública,131100.3098,121578.1638
2002,10,Economía,6425.959,6173.0926
2002,11,Educación Pública,110376.5406,107991.5437
2002,18,Energía,14225.3956,14181.2787
2002,34,Erogaciones para los Programas de Apoyo a Ahorradores y Deudores de la Banca,45378.1,43982.4726
2002,4,Gobernación,5070.8872,5190.425
2002,6,Hacienda y Crédito Público,21930.28,69616.8002
2002,51,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,,
2002,22,Instituto Federal Electoral,5795.313,5850.7198
2002,50,Instituto Mexicano del Seguro Social,,
2002,54,Luz y Fuerza del Centro,,
2002,13,Marina,8518.47,8486.4113
2002,16,Medio Ambiente y Recursos Naturales,14852.94,14932.4174
2002,28,Participaciones a Entidades Federativas y Municipios,219192.9,214909.7743
2002,52,Petróleos Mexicanos,,
2002,3,Poder Judicial,15363.6109,15414.3785
2002,1,Poder Legislativo,4896.9266,4967.126
2002,2,Presidencia de la República,1674.311,1577.7729
2002,25,"Previsiones y Aportaciones para los Sistemas de Educación Básica, Normal, Tecnológica y de Adultos",21807.9055,15677.5724
2002,17,Procuraduría General de la República,6932.5849,6991.8657
2002,23,Provisiones Salariales y Económicas,22102.7015,17928.6373
